"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:21:00.7391181","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: True, Offset: 124, Length: 1, Fail Immediately: True"
"15:21:00.7391284","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 124, Length: 1"
"15:21:00.7391372","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: True, Offset: 125, Length: 1, Fail Immediately: True"
"15:21:00.7391457","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 125, Length: 1"
"15:21:00.7391545","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: True, Offset: 126, Length: 1, Fail Immediately: True"
"15:21:00.7391625","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 126, Length: 1"
"15:21:00.7391709","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: True, Offset: 127, Length: 1, Fail Immediately: True"
"15:21:00.7391790","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 127, Length: 1"
"15:21:00.7391868","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 121, Length: 2"
"15:21:00.7391948","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 120, Length: 1"
"15:21:00.7392035","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"15:21:00.7392139","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","AllocationSize: 4096, EndOfFile: 40960, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7392277","ZCode.exe","23548","ReadFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","Offset: 0, Length: 4096"
"15:21:00.7393677","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 123, Length: 1"
"15:21:00.7394039","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"15:21:00.7394125","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","AllocationSize: 4096, EndOfFile: 40960, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7394325","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 123, Length: 1"
"15:21:00.7395733","ZCode.exe","23548","QueryCompressionInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS",""
"15:21:00.7395978","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"15:21:00.7396062","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","AllocationSize: 4096, EndOfFile: 40960, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7396176","ZCode.exe","23548","ReadFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","Offset: 12288, Length: 4096"
"15:21:00.7396324","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 123, Length: 1"
"15:21:00.7396410","ZCode.exe","23548","QueryCompressionInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS",""
"15:21:00.7396514","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","AllocationSize: 4096, EndOfFile: 40960, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7396724","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"15:21:00.7396802","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","AllocationSize: 4096, EndOfFile: 40960, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7396897","ZCode.exe","23548","ReadFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","Offset: 36864, Length: 4096"
"15:21:00.7397048","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 123, Length: 1"
"15:21:00.7397167","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"15:21:00.7397240","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","AllocationSize: 4096, EndOfFile: 40960, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7397323","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 123, Length: 1"
"15:21:00.7397469","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"15:21:00.7397539","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","AllocationSize: 4096, EndOfFile: 40960, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7397632","ZCode.exe","23548","ReadFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","Offset: 8192, Length: 4096"
"15:21:00.7397742","ZCode.exe","23548","ReadFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","Offset: 20480, Length: 4096"
"15:21:00.7399144","ZCode.exe","23548","ReadFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache","SUCCESS","Offset: 16384, Length: 4096"
"15:21:00.7399377","ZCode.exe","23548","UnlockFileSingle","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 123, Length: 1"
"15:21:00.7401592","ZCode.exe","23548","CreateFile","C:\Program Files\ZCode\dxilconv.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:21:00.7403349","ZCode.exe","23548","CreateFile","C:\Windows\System32\dxilconv.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:21:00.7403722","ZCode.exe","23548","QueryBasicInformationFile","C:\Windows\System32\dxilconv.dll","SUCCESS","CreationTime: 27-05-2026 09:30:27, LastAccessTime: 26-06-2026 13:04:03, LastWriteTime: 27-05-2026 09:30:27, ChangeTime: 24-06-2026 13:31:01, FileAttributes: A"
"15:21:00.7403820","ZCode.exe","23548","CloseFile","C:\Windows\System32\dxilconv.dll","SUCCESS",""
"15:21:00.7404525","ZCode.exe","23548","CreateFile","C:\Windows\System32\dxilconv.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:21:00.7404769","ZCode.exe","23548","CreateFileMapping","C:\Windows\System32\dxilconv.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"15:21:00.7405275","ZCode.exe","23548","CreateFileMapping","C:\Windows\System32\dxilconv.dll","SUCCESS","SyncType: SyncTypeOther"
"15:21:00.7406344","ZCode.exe","23548","Load Image","C:\Windows\System32\dxilconv.dll","SUCCESS","Image Base: 0x7ffadce80000, Image Size: 0x164000"
"15:21:00.7407030","ZCode.exe","23548","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS","Desired Access: Read"
"15:21:00.7407291","ZCode.exe","23548","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\PreferExternalManifest","NAME NOT FOUND","Length: 20"
"15:21:00.7407441","ZCode.exe","23548","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS",""
"15:21:00.7408509","ZCode.exe","23548","CreateFile","C:\Windows\System32\dxilconv.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:21:00.7410748","ZCode.exe","23548","CloseFile","C:\Windows\System32\dxilconv.dll","SUCCESS",""
"15:21:00.7411967","ZCode.exe","23548","CloseFile","C:\Windows\System32\dxilconv.dll","SUCCESS",""
"15:21:00.7413630","ZCode.exe","23548","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\401b5439-6b0c-45cd-9c08-7080760bd043","NAME NOT FOUND","Length: 528"
"15:21:00.7414863","ZCode.exe","23548","CreateFile","C:\Windows\System32\dxilconv.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"15:21:00.7415139","ZCode.exe","23548","QueryBasicInformationFile","C:\Windows\System32\dxilconv.dll","SUCCESS","CreationTime: 27-05-2026 09:30:27, LastAccessTime: 26-06-2026 15:21:00, LastWriteTime: 27-05-2026 09:30:27, ChangeTime: 24-06-2026 13:31:01, FileAttributes: A"
"15:21:00.7415235","ZCode.exe","23548","CloseFile","C:\Windows\System32\dxilconv.dll","SUCCESS",""
"15:21:00.7416205","ZCode.exe","23548","CreateFile","C:\Users\DELL\AppData\Local\D3DSCache","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0"
"15:21:00.7417189","ZCode.exe","23548","CreateFile","C:\Users\DELL\AppData\Local\D3DSCache","SUCCESS","Desired Access: All Access, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"15:21:00.7417445","ZCode.exe","23548","SetStorageReservedIdInformation","C:\Users\DELL\AppData\Local\D3DSCache","SUCCESS",""
"15:21:00.7417607","ZCode.exe","23548","CloseFile","C:\Users\DELL\AppData\Local\D3DSCache","SUCCESS",""
"15:21:00.7418526","ZCode.exe","23548","CreateFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0"
